"pub_name","venue_name","pub_year","pub_date","pub_vol","pub_type","isbn","city","edition_number","venue_type"
"2022 27th OptoElectronics and Communications Conference (OECC) and 2022 International Conference on Photonics in Switching and Computing (PSC)","2022 27th OptoElectronics and Communications Conference (OECC) and 2022 International Conference on Photonics in Switching and Computing (PSC)","2022","2022-07-03","Vol. XY","Proceedings","978-328829262","Sydney","2020.0","Workshop"
"ISPRS Int. J. Geo Inf.","ISPRS Int. J. Geo Inf.","2022","2022-06-23","30","Journal","nan","","",""
"Distributed Event-Based Systems","Distributed Event-Based Systems","2022","2022-06-27","Vol. XY","Proceedings","978-472052162","Paris","2019.0","Workshop"
"Library hi tech","Library hi tech","2022","2022-06-17","11","Journal","nan","","",""
"Asian Simulation Conference","Asian Simulation Conference","2022","","37","Journal","nan","","",""
"Web Information System and Application Conference","Web Information System and Application Conference","2022","","40","Journal","nan","","",""
"2022 Second International Conference on Next Generation Intelligent Systems (ICNGIS)","2022 Second International Conference on Next Generation Intelligent Systems (ICNGIS)","2022","2022-07-29","Vol. XY","Proceedings","978-749158151","New York","2018.0","Conference"
"Natural Language Engineering","Natural Language Engineering","2022","2022-05-23","4","Journal","nan","","",""
"IEEE International Symposium on Distributed Simulation and Real-Time Applications","IEEE International Symposium on Distributed Simulation and Real-Time Applications","2022","2022-09-26","31","Journal","nan","","",""
"IEEE Transactions on Cognitive and Developmental Systems","IEEE Transactions on Cognitive and Developmental Systems","2022","2022-03-01","35","Journal","nan","","",""
"Eurographics","Eurographics","2022","2022-08-08","Vol. XY","Proceedings","978-501538566","Rome","2022.0","Conference"
"Journal of Low Frequency Noise Vibration and Active Control","Journal of Low Frequency Noise Vibration and Active Control","2022","2022-09-26","13","Journal","nan","","",""
"International Conference on Information and Knowledge Management","International Conference on Information and Knowledge Management","2022","2022-10-17","Vol. XY","Proceedings","978-626823292","New York","2019.0","Workshop"
"AAAI Spring Symposium Combining Machine Learning with Knowledge Engineering","AAAI Spring Symposium Combining Machine Learning with Knowledge Engineering","2022","2022-01-20","15","Journal","nan","","",""
"International Conferences on Pattern Recognition and Artificial Intelligence","International Conferences on Pattern Recognition and Artificial Intelligence","2022","","45","Journal","nan","","",""
"International Journal of Data Science and Advanced Analytics","Data Science and Advanced Analytics","2022","2022-12-06","27","Journal","nan","","",""
"Complex & Intelligent Systems","Complex & Intelligent Systems","2022","2022-11-24","10","Journal","nan","","",""
"Asian Control Conference","Asian Control Conference","2022","2022-05-04","Vol. XY","Proceedings","978-653330477","London","2018.0","Conference"
"INTERNATIONAL JOURNAL OF HIGH INFORMATION, COMPUTERIZATION, ENGINEERING AND APPLIED SCIENCE (JHICE)","INTERNATIONAL JOURNAL OF HIGH INFORMATION, COMPUTERIZATION, ENGINEERING AND APPLIED SCIENCE (JHICE)","2022","2022-07-04","26","Journal","nan","","",""
"Computers & Operations Research","Computers & Operations Research","2022","","44","Journal","nan","","",""
"System Configuration Management","System Configuration Management","2022","2022-05-25","Vol. XY","Proceedings","978-166114449","New York","2020.0","Conference"
"Information Systems Frontiers","Information Systems Frontiers","2022","2022-06-08","5","Journal","nan","","",""
"Briefings in Bioinformatics","Briefings in Bioinformatics","2022","2022-12-27","47","Journal","nan","","",""
"Communications in nonlinear science & numerical simulation","Communications in nonlinear science & numerical simulation","2022","2022-03-01","18","Journal","nan","","",""
"ACM Transactions on Internet of Things","ACM Transactions on Internet of Things","2022","2022-12-06","36","Journal","nan","","",""
"J. Sensors","J. Sensors","2022","2022-05-24","11","Journal","nan","","",""
"Foundations of Software Technology and Theoretical Computer Science","Foundations of Software Technology and Theoretical Computer Science","2022","2022-02-01","Vol. XY","Proceedings","978-909140694","Berlin","2022.0","Conference"
"Science","Science","2022","2022-12-09","18","Journal","nan","","",""
"Circuits, systems, and signal processing","Circuits, systems, and signal processing","2022","2022-12-12","40","Journal","nan","","",""
"International Conference on Industrial Informatics","International Conference on Industrial Informatics","2022","2022-07-25","Vol. XY","Proceedings","978-100381248","Sydney","2020.0","Conference"
"International Conferences on Computing and Pattern Recognition","International Conferences on Computing and Pattern Recognition","2022","2022-11-17","1","Journal","nan","","",""
"ARES","ARES","2022","2022-08-23","6","Journal","nan","","",""
"2022 4th International Conference on Sustainable Technologies for Industry 4.0 (STI)","2022 4th International Conference on Sustainable Technologies for Industry 4.0 (STI)","2022","2022-12-17","Vol. XY","Proceedings","978-536090848","New York","2022.0","Conference"
"IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems","IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems","2022","2022-08-01","9","Journal","nan","","",""
"Confluence","Confluence","2022","2022-01-27","Vol. XY","Proceedings","978-145589294","New York","2020.0","Conference"
"2022 8th Annual International Conference on Network and Information Systems for Computers (ICNISC)","2022 8th Annual International Conference on Network and Information Systems for Computers (ICNISC)","2022","2022-09-01","Vol. XY","Proceedings","978-234610027","Berlin","2020.0","Conference"
"Journal of Signal Processing Systems","Journal of Signal Processing Systems","2022","2022-09-19","20","Journal","nan","","",""
"Workshop on Advanced Robotics and its Social Impacts","Workshop on Advanced Robotics and its Social Impacts","2022","2022-05-28","Vol. XY","Proceedings","978-973402962","Paris","2019.0","Workshop"
"International Conference on Automated Software Engineering","International Conference on Automated Software Engineering","2022","2022-10-10","Vol. XY","Proceedings","978-679646791","Rome","2022.0","Conference"
"Briefings in bioinformatics","Briefings in bioinformatics","2022","2022-03-14","35","Journal","nan","","",""
"4TH INTERNATIONAL CONFERENCE ON FRONTIERS OF BIOLOGICAL SCIENCES AND ENGINEERING (FBSE 2021)","4TH INTERNATIONAL CONFERENCE ON FRONTIERS OF BIOLOGICAL SCIENCES AND ENGINEERING (FBSE 2021)","2022","","Vol. XY","Proceedings","978-201540425","London","2022.0","Conference"
"International Conference on Computational Intelligence and Communication Networks","International Conference on Computational Intelligence and Communication Networks","2022","2022-12-04","Vol. XY","Proceedings","978-465621276","Sydney","2022.0","Conference"
"Symposium on Combinatorial Search","Symposium on Combinatorial Search","2022","2022-07-17","21","Journal","nan","","",""
"International Symposium on Communication Systems, Networks and Digital Signal Processing","International Symposium on Communication Systems, Networks and Digital Signal Processing","2022","2022-04-26","48","Journal","nan","","",""
"Journal of the Academy of Marketing Science","Journal of the Academy of Marketing Science","2022","2022-04-20","3","Journal","nan","","",""
"2022 4th International Conference on Computer Science and Technologies in Education (CSTE)","2022 4th International Conference on Computer Science and Technologies in Education (CSTE)","2022","2022-05-01","Vol. XY","Proceedings","978-942533488","Barcelona","2020.0","Conference"
"Nanomaterials","Nanomaterials","2022","2022-04-01","23","Journal","nan","","",""
"Fourth International Conference on Computer Science and Educational Informatization (CSEI 2022)","Fourth International Conference on Computer Science and Educational Informatization (CSEI 2022)","2022","","Vol. XY","Proceedings","978-542024629","Sydney","2022.0","Workshop"
"2022 IEEE/ACM International Conference On Computer Aided Design (ICCAD)","2022 IEEE/ACM International Conference On Computer Aided Design (ICCAD)","2022","2022-10-29","Vol. XY","Proceedings","978-594827554","Barcelona","2019.0","Conference"
"2022 IEEE International Conference on Data Science and Information System (ICDSIS)","2022 IEEE International Conference on Data Science and Information System (ICDSIS)","2022","2022-07-29","Vol. XY","Proceedings","978-567010590","Sydney","2020.0","Workshop"
"IEEE Electron Devices Technology and Manufacturing Conference","IEEE Electron Devices Technology and Manufacturing Conference","2022","2022-03-06","Vol. XY","Proceedings","978-476246714","London","2020.0","Workshop"
"IEEE Transactions on Network and Service Management","IEEE Transactions on Network and Service Management","2022","2022-04-27","48","Journal","nan","","",""
"ACM Transactions on Knowledge Discovery from Data","ACM Transactions on Knowledge Discovery from Data","2022","2022-10-25","18","Journal","nan","","",""
"ACM Transactions on Sensor Networks","ACM Transactions on Sensor Networks","2022","2022-03-24","12","Journal","nan","","",""
"International Conference on Mobile Ad-hoc and Sensor Networks","International Conference on Mobile Ad-hoc and Sensor Networks","2022","2022-10-25","Vol. XY","Proceedings","978-970568623","Rome","2022.0","Workshop"
"International Journal of Learning Technology","International Journal of Learning Technology","2022","","27","Journal","nan","","",""
"Conference on Human Information Interaction and Retrieval","Conference on Human Information Interaction and Retrieval","2022","2022-03-14","16","Journal","nan","","",""
"Proceedings of the VLDB Endowment","Proceedings of the VLDB Endowment","2022","2022-08-01","21","Journal","nan","","",""
"Pacific-Asia Conference on Knowledge Discovery and Data Mining","Pacific-Asia Conference on Knowledge Discovery and Data Mining","2022","","Vol. XY","Proceedings","978-359565631","Sydney","2021.0","Conference"
"International Conference on Neural Information Processing","International Conference on Neural Information Processing","2022","","37","Journal","nan","","",""
"IEEE Conference on Decision and Control","IEEE Conference on Decision and Control","2022","2022-12-06","Vol. XY","Proceedings","978-276177171","New York","2018.0","Conference"
"BMC Medical Imaging","BMC Medical Imaging","2022","2022-09-03","38","Journal","nan","","",""
"2022 International Conference on Smart Grid Synchronized Measurements and Analytics (SGSMA)","2022 International Conference on Smart Grid Synchronized Measurements and Analytics (SGSMA)","2022","2022-05-24","Vol. XY","Proceedings","978-746885944","Toronto","2021.0","Workshop"
"IEEE Journal on Selected Areas in Communications","IEEE Journal on Selected Areas in Communications","2022","2022-10-26","49","Journal","nan","","",""
"Brazilian Symposium on Multimedia and the Web","Brazilian Symposium on Multimedia and the Web","2022","2022-11-07","15","Journal","nan","","",""
"International Journal of Network Management","International Journal of Network Management","2022","2022-04-15","23","Journal","nan","","",""
"Expert Systems","Expert Systems","2022","2022-04-22","8","Journal","nan","","",""
"METAL Conference Proeedings","METAL Conference Proeedings","2022","","Vol. XY","Proceedings","978-296986176","Barcelona","2022.0","Conference"
"European Conference on Information Systems","European Conference on Information Systems","2022","","Vol. XY","Proceedings","978-329392718","Paris","2022.0","Conference"
"International Journal of Applied Decision Sciences","International Journal of Applied Decision Sciences","2022","","16","Journal","nan","","",""
"2022 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events (PerCom Workshops)","2022 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events (PerCom Workshops)","2022","2022-03-21","Vol. XY","Proceedings","978-277267275","Barcelona","2018.0","Workshop"
"Numerical Algorithms","Numerical Algorithms","2022","2022-05-03","1","Journal","nan","","",""
"Portland International Conference on Management of Engineering and Technology","Portland International Conference on Management of Engineering and Technology","2022","2022-08-01","Vol. XY","Proceedings","978-870197471","New York","2019.0","Conference"
"Practice and Experience in Advanced Research Computing","Practice and Experience in Advanced Research Computing","2022","2022-07-08","49","Journal","nan","","",""
"2022 10th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)","2022 10th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)","2022","2022-10-13","Vol. XY","Proceedings","978-431205450","Sydney","2022.0","Conference"
"IEEE PES Innovative Smart Grid Technologies Conference","IEEE PES Innovative Smart Grid Technologies Conference","2022","2022-04-24","Vol. XY","Proceedings","978-345439833","London","2022.0","Conference"
"International Journal of Science and Research (IJSR)","International Journal of Science and Research (IJSR)","2022","2022-10-05","37","Journal","nan","","",""
"2022 6th International Conference on Electrical, Telecommunication and Computer Engineering (ELTICOM)","2022 6th International Conference on Electrical, Telecommunication and Computer Engineering (ELTICOM)","2022","2022-11-22","Vol. XY","Proceedings","978-687854888","Rome","2018.0","Workshop"
"ACM Transactions on Design Automation of Electronic Systems (TODAES)","ACM Transactions on Design Automation of Electronic Systems (TODAES)","2022","2022-02-18","23","Journal","nan","","",""
"Annual Conference of the IEEE Industrial Electronics Society","Annual Conference of the IEEE Industrial Electronics Society","2022","2022-10-17","Vol. XY","Proceedings","978-142281520","Barcelona","2021.0","Conference"
"International Conference on Modern Circuits and Systems Technologies","International Conference on Modern Circuits and Systems Technologies","2022","2022-06-08","Vol. XY","Proceedings","978-932905206","New York","2018.0","Conference"
"International Conference on Signal Processing and Communications","International Conference on Signal Processing and Communications","2022","2022-07-11","Vol. XY","Proceedings","978-798163244","Rome","2021.0","Conference"
"International Conference on Information and Communication Technologies for Sustainable Agri-production and Environment","International Conference on Information and Communication Technologies for Sustainable Agri-production and Environment","2022","","36","Journal","nan","","",""
"Molecular Plant","Molecular Plant","2022","2022-12-01","36","Journal","nan","","",""
"Asia-Pacific Conference on Communications","Asia-Pacific Conference on Communications","2022","2022-10-19","Vol. XY","Proceedings","978-167221799","Sydney","2022.0","Conference"
"2022 IEEE PES Innovative Smart Grid Technologies - Asia (ISGT Asia)","2022 IEEE PES Innovative Smart Grid Technologies - Asia (ISGT Asia)","2022","2022-11-01","48","Journal","nan","","",""
"Journal of Supercomputing","Journal of Supercomputing","2022","2022-02-28","5","Journal","nan","","",""
"International Journal of Artificial Intelligence, Data Science, and Machine Learning","Artificial Intelligence","2022","","31","Journal","nan","","",""
"International Journal of Biometrics (IJBM)","International Journal of Biometrics (IJBM)","2022","","30","Journal","nan","","",""
"International Conference on Awareness Science and Technology","International Conference on Awareness Science and Technology","2022","","Vol. XY","Proceedings","978-127705205","Toronto","2018.0","Conference"
"Information and Communication Technology Convergence","Information and Communication Technology Convergence","2022","2022-10-19","Vol. XY","Proceedings","978-741148696","Barcelona","2021.0","Conference"
"Conference on Design of Circuits and Integrated Systems","Conference on Design of Circuits and Integrated Systems","2022","2022-11-16","Vol. XY","Proceedings","978-606980594","Toronto","2018.0","Workshop"
"AIP Conference Proceedings","AIP Conference Proceedings","2022","","Vol. XY","Proceedings","978-713491234","Paris","2021.0","Conference"
"2022 4th International Conference on Cybernetics and Intelligent System (ICORIS)","2022 4th International Conference on Cybernetics and Intelligent System (ICORIS)","2022","2022-10-08","Vol. XY","Proceedings","978-238960015","Sydney","2018.0","Conference"
"Journal of Environmental and Public Health","Journal of Environmental and Public Health","2022","2022-09-08","23","Journal","nan","","",""
"Journal of King Saud University: Computer and Information Sciences","Journal of King Saud University: Computer and Information Sciences","2022","2022-09-01","49","Journal","nan","","",""
"Journal of Guaranteed Impact","Journal of Guaranteed Impact","2021","2021-01-01","Volume 1","Journal","","","",""
"Proceedings of The Summit of Graph Databases 2018","The Summit of Graph Databases","2018","2018-06-01","","Proceedings","","Barcelona","1.0","Conference"
"Proceedings of The Summit of Graph Databases 2019","The Summit of Graph Databases","2019","2019-06-01","","Proceedings","","Barcelona","2.0","Conference"
"Proceedings of The Summit of Graph Databases 2020","The Summit of Graph Databases","2020","2020-06-01","","Proceedings","","Barcelona","3.0","Conference"
"Proceedings of The Summit of Graph Databases 2021","The Summit of Graph Databases","2021","2021-06-01","","Proceedings","","Barcelona","4.0","Conference"
"Proceedings of International Summit of DB Gurus","International Summit of DB Gurus","2020","2020-01-01","","Proceedings","","Rome","1.0","Conference"
